,pop,pop_yoy,pop_3y,active,biz_yoy,biz_3y,net_entry,closure_rate,open_rate,biz_per_1k,risk,aging_ratio,youth_ratio,soc_access,soc_per_capita,vacancy_rate,old_building,transit_density,pop_density
신방동,-0.01763080882129064,3.1793535027019777,0.27015683960293735,-0.5238127385902972,-0.5814171416487697,0.4669139150320099,-1.3835789075471956,-2.044719662764689,-4.563291731628078,5.481083585786352,1.2698353868818688,-4.814807156907718,-6.009388431862535,0.5502054515602334,-0.044253776708700725,-5.787247635525251,-2.57211990604446,0.40854400568498994,0.3929008738755546
신안동,0.4504616542363522,0.18955949681921985,-0.10500531661471323,0.1794592740314819,-2.0125585326060027,0.13636462974635255,-1.4266527445968649,-2.047938425466649,-4.508512643453019,4.738713513475218,1.0802260417403382,-3.7537081952318143,-6.628339529755616,0.3417733788759027,0.3674247924976794,-6.064156049121282,-2.7930775725605916,-0.7958163548700871,0.3027832985381677
쌍용동,-0.667107898405464,2.54256979666556,-0.5619839623948261,-0.10022426764857345,1.872213612815833,0.48053506772209087,-0.28820539254938277,-1.908934687564319,-4.068473554595422,-9.299077647408385,0.8656824623923546,-2.074225945314566,-6.323498230429464,0.35355193280119346,-0.3287788454136404,-4.373956018302569,-1.7792792314459616,-1.10379733728754,0.3821124846697277
원성동,2.4418341076450694,1.4594915105050834,-1.0836948456333806,0.6893345849009358,2.0938725691753297,2.225560551829533,0.40383303291393163,7.719772515779667,4.762215575539694,-2.0738265346248532,2.774892035222062,3.751600039407656,6.60848990027049,0.8671493724711365,0.19773589652639909,3.812117472217905,2.3104181793466836,0.9209887892895102,0.9420175430531943
일봉동,1.0063234851234055,1.493160604152742,-0.19539558802548995,-0.5135642294727526,-2.8918239971584927,-1.9344508869450716,0.907237540378414,-4.186823102263199,-0.4296995909346075,5.367301580216508,1.7501858803781405,-3.2247122889760353,3.718361353625146,0.8289959120888797,-0.25927162677239446,2.8661918423061947,1.0504723768923725,-0.27436092982812554,0.19752290474301681
입장면,1.8382278472513427,-0.39711689667879424,0.9787533063538044,0.32480026247668403,-0.3342209266523045,2.102588121717528,0.8941356454261408,-1.5479292779202805,-0.8766716608152259,1.7832314323462077,2.6859357007278586,3.40460014326719,5.35584871506442,0.6922867556073995,0.2915839170648651,3.3166595600666025,1.1107373312349693,0.8444269995997089,0.027140828136817306
중앙동,2.434978325832221,1.3692745788931908,0.1770296343881503,0.6876627747184707,-0.9045805939065423,-6.213659824079562,1.7842705196136306,9.011261142806088,5.885087985865997,2.928347616023673,3.7504116892989856,4.998359160636482,7.167324193603831,0.7724072751655202,0.2063462138390491,4.562057476426361,3.6220214898494723,-0.03243611825682534,1.0545692647837608
직산읍,2.138169408704734,2.6155248474338615,-0.21304715916299913,-0.4741961801389677,-1.6491964745926138,1.379418565354655,-0.963957558349338,-1.6753878590581943,-4.179321367350624,-10.591153183631356,-3.6435019439333787,1.4865617551502581,-7.534837713423805,0.3809677860590127,-0.04565733623445571,-4.861587492912701,-2.3533028501399014,0.35135134023609754,0.20134860179540903
청룡동,-1.2451612483405599,-0.2889479106856721,-0.3647246931312388,-0.3970390383697776,2.61733862500729,0.16548909046073887,-1.438243124170655,-2.2034323012681014,-4.256442591619578,4.982751034477135,1.2147028589174582,-4.327031392237023,-6.385947203479412,0.41344974676092955,0.23363022594430838,-5.877308340430429,-2.6882525797719934,-0.6172855418853427,0.323709120132505
풍세면,2.7027577932326956,0.6273223130181306,0.368548025638709,0.8584695997564763,0.17457632063469544,2.258090041551202,-0.7885458619549794,5.103719540935593,4.6070008562319,6.3190872827555165,-4.393523734019806,1.1307301161444812,-10.29779035030639,0.36606304212764496,0.0430664651512211,4.814027431404204,3.167645215105085,0.8671740735589648,0.054371806202102455
